country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.56,1.08,,,0.866,1.76,0.988,2.11,2.43,3.06,3.43,2.88,1.1,2.3,2.77,3.31,3.54,,,3.04,3.92,,2.28,,,,,,
Argentina,,,,,,,,,,,,,,,,,3.75,4.52,4.88,4.41,5.04,,,,,,,4.07,4.16,3.72,3.87,3.93,3.31,3.48,3.24,3.53,4.27,4.46,4.18,3.76,3.63,2.96,2.96,2.87,2.93,2.81,2.93,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,1.21,,,1.33,1.06,1.6,1.54,1.08,1.84,1.35,1,1.85,1.84,1.76,1.15,0.728,0.855,0.823,0.68,0.588,0.665,0.509,,,,,1.02,,,,1.08,1.13,0.757,0.969,0.673
Australia,4.56,4.57,5.15,5.89,5.38,5.32,5.73,6.76,6.14,5.8,6.2,6.82,8.8,10.9,10.2,11.2,11,11.4,8.79,8.08,7.77,9.62,8.65,7.73,7.58,7.2,5.92,6.32,6.61,6.61,5.55,5.49,5.71,5.03,5.08,5.1,5.6,5.04,5.17,4.62,4.8,5.23,4.88,4.12,4.31,4.76,4.65,5.57,5.17,4.87,4.89,4.89,4.67,4.36,4,,4.33,4.55,4.31,4.52,4.49,4.74,5.29,5.2,5.55,5.71,
Austria,,,,,,13,12.3,12.5,12.6,12.9,12.3,11.3,10.9,11.5,10.8,11.9,11.5,10.6,10.4,11.8,11.5,12,11.7,10.9,11.7,11.2,10.4,12.1,11.6,12,11.7,12.2,11.5,12,11.6,12.3,12.7,11.9,10.2,11.1,10.1,8.94,9.24,8.65,9.34,8.11,7.75,7.61,7.05,7.66,7.81,7.08,6.4,6.94,5.99,6.02,4.81,5.11,5.02,4.9,4.87,5.26,4.32,5.23,5.07,4.55,4.83
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83,2.85,,,2.52,2.68,2.91,2.53,2.49,0.833,1.01,1.09,1.03,0.55,0.18,0.385,0.618,0.42,0.335,0.388,,,,,,,0.288,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,,,,0.944,1.08,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.903,,1.1,0.649,,,,,,,,,,,,,,,,,1.56,2.27,1.18,1.52,1.01,0.676,1.14,,,0.141,,
Barbados,,,,,,,,,,,,,,,,,0.745,,1.51,1.69,,1.27,1.03,,,,,1.8,0.928,,2.42,,,,1.37,1.42,0.76,1.96,0.579,2.69,3.06,3.09,2.58,0.968,3.31,4.02,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,7.86,,,7.04,6.21,7.18,6.63,7,6.73,6.71,7.32,8.07,8.66,7.96,,8.89,8.24,8.44,7.61,7.39,,,,,,,,,,,,,,,
Belgium,,,,,5.85,5.68,6.93,6.83,6.47,5.95,6.43,6.51,6.07,7.05,6.55,7.81,7.1,7.43,8.12,7.34,9.1,7.75,8.35,7.43,8.44,9.47,9.49,11.1,11.8,12.2,13.2,12.1,11.5,13.2,12.5,12.1,11.6,11,10.2,9.15,9.33,8.28,8.6,9.11,9.13,9.43,8.81,9.53,8.57,7.75,9.63,8.93,8.86,8.68,8.2,8.16,8.02,7.63,8.11,8.23,8.18,8.69,7.53,7.41,7.58,7.4,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.956,,,,0.777,,,,,0.667,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,5.58,5.65,4.26,3.87,3.79,3.27,,,,,,,,,,,,,,,,,,,,,,,2.57,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,2.26,2.18,1.94,2.26,2.01,1.84,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
